player,pitches,total,pitches%,PA,AB,BIP,H,1B,2B,3B,HR,SO,K%,BB,BB%,Whiffs,Swings,BA,xBA,OBP,xOBP,SLG,xSLG,wOBA,xwOBA,Barrels,PV,EV,LA
Jake Cronenworth,972,2752,35.3,209,174,144,45,30,11,1,3,30,14.4,30,14.4,51,431,.259,.282,.380,.400,.385,.442,.344,.372,11,94.9,90.4,10
Matt Olson,909,2947,30.8,207,174,126,39,16,10,0,13,51,24.6,28,13.5,109,462,.224,.257,.333,.365,.506,.535,.358,.384,22,94.9,92.3,16
Corbin Carroll,874,2648,33.0,242,202,154,49,36,5,2,6,49,20.2,36,14.9,62,349,.243,.233,.364,.357,.376,.390,.332,.335,13,94.8,89.1,14
Jarren Duran,864,2844,30.4,188,171,129,49,26,15,4,4,42,22.3,16,8.5,84,403,.287,.286,.351,.351,.491,.492,.362,.363,13,94.8,91.4,13
Brandon Nimmo,860,2747,31.3,204,160,121,37,23,5,2,7,40,19.6,39,19.1,62,367,.231,.243,.392,.402,.419,.422,.362,.368,10,94.9,92.3,16
Anthony Santander,859,2738,31.4,189,168,134,37,15,7,1,14,37,19.6,18,9.5,81,410,.220,.215,.291,.291,.524,.444,.342,.318,16,94.9,89.4,26
Pete Alonso,853,2780,30.7,190,159,115,42,23,8,0,11,44,23.2,25,13.2,77,376,.264,.244,.384,.368,.522,.487,.392,.371,19,94.9,91.3,18
Gunnar Henderson,815,2896,28.1,190,161,115,44,25,11,1,7,46,24.2,27,14.2,66,338,.273,.301,.384,.408,.484,.533,.378,.405,15,94.8,94.0,7
Yandy Díaz,814,2460,33.1,186,161,130,43,33,8,0,2,33,17.7,22,11.8,49,347,.267,.275,.355,.363,.354,.405,.318,.339,8,94.9,94.7,2
Vladimir Guerrero Jr.,813,2602,31.2,191,167,149,56,47,6,0,3,19,9.9,20,10.5,60,372,.335,.329,.414,.410,.425,.523,.372,.406,16,95.0,93.7,5
Ryan McMahon,808,2723,29.7,159,138,87,28,19,5,0,4,52,32.7,19,11.9,100,370,.203,.226,.297,.318,.326,.362,.280,.303,8,94.9,92.5,10
Luis Arraez,799,2416,33.1,224,217,213,81,70,11,0,0,5,2.2,5,2.2,21,443,.373,.360,.388,.376,.424,.448,.356,.358,3,94.7,87.2,15
Eugenio Suárez,798,2542,31.4,212,192,152,59,41,10,2,6,43,20.3,15,7.1,86,406,.307,.282,.358,.336,.474,.511,.358,.360,17,94.9,90.1,18
Randy Arozarena,793,2774,28.6,187,151,103,27,17,6,0,4,49,26.2,29,15.5,77,322,.179,.208,.332,.359,.298,.357,.294,.332,8,94.9,92.6,17
Willy Adames,792,2733,29.0,213,189,140,42,26,9,0,7,50,23.5,23,10.8,117,412,.222,.259,.305,.338,.381,.506,.302,.360,18,94.8,89.3,17
Marcell Ozuna,789,2875,27.4,205,188,143,54,37,9,0,8,45,22.0,16,7.8,80,377,.287,.294,.343,.349,.463,.554,.350,.383,16,94.9,94.0,14
Spencer Steer,787,2621,30.0,205,179,136,36,22,8,0,6,43,21.0,23,11.2,66,335,.201,.227,.302,.325,.346,.378,.291,.312,8,94.8,88.9,17
Jurickson Profar,786,2739,28.7,205,170,132,41,28,2,0,11,39,19.0,30,14.6,59,369,.241,.255,.366,.379,.447,.443,.358,.362,15,94.9,91.3,15
Nathaniel Lowe,778,2356,33.0,203,166,125,42,28,9,0,5,41,20.2,34,16.7,70,349,.253,.283,.389,.413,.398,.427,.354,.374,10,94.9,89.6,9
Francisco Lindor,776,2713,28.6,170,150,112,35,20,7,0,8,38,22.4,20,11.8,83,354,.233,.279,.324,.363,.440,.536,.333,.383,18,94.7,93.0,20
